"Date","Open","High","Low","Close","Shares.Traded","Turnover..Rs..Cr."
"09-Dec-2014",8439.3,8444.5,8330.5,8340.7,146266705,7115.31
"10-Dec-2014",8318.05,8376.8,8317,8355.65,136656345,6738.18
"11-Dec-2014",8338.85,8348.3,8272.4,8292.9,133862999,6718.85
"12-Dec-2014",8302,8321.9,8216.3,8224.1,138080911,6894.03
"15-Dec-2014",8160.75,8242.4,8152.5,8219.6,137140608,6720.94
"16-Dec-2014",8172.6,8189.35,8052.6,8067.6,197337631,8920.29
"17-Dec-2014",8041.2,8082,7961.35,8029.8,216216145,9966.02
"18-Dec-2014",8138.9,8174.3,8084.9,8159.3,162112021,7352.6
"19-Dec-2014",8230.45,8263.45,8208.6,8225.2,174796496,8246.76
"22-Dec-2014",8255,8330.95,8228.2,8324,139159658,5745.04
"23-Dec-2014",8324.6,8364.75,8252.85,8267,132190368,5629.52
"24-Dec-2014",8272.05,8286.4,8155.25,8174.1,221905876,11229.76
"26-Dec-2014",8204.8,8234.55,8147.95,8200.7,75528707,2995.12
"29-Dec-2014",8214.7,8279.15,8214.7,8246.3,82086035,3340.07
"30-Dec-2014",8260.3,8268.25,8220.55,8248.25,77695770,3460.46
"31-Dec-2014",8243.9,8291,8243.75,8282.7,84532600,4221.32
"01-Jan-2015",8272.8,8294.7,8248.75,8284,56560411,2321.88
"02-Jan-2015",8288.7,8410.6,8288.7,8395.45,101887024,4715.72
"05-Jan-2015",8407.95,8445.6,8363.9,8378.4,118160545,5525.52
"06-Jan-2015",8325.3,8327.85,8111.35,8127.35,172799618,8089.19
"07-Jan-2015",8118.65,8151.2,8065.45,8102.1,164075424,7464.33
"08-Jan-2015",8191.4,8243.5,8167.3,8234.6,143802802,8147.4
"09-Jan-2015",8285.45,8303.3,8190.8,8284.5,152612528,9305.95
"12-Jan-2015",8291.35,8332.6,8245.6,8323,103153908,5437.76
"13-Jan-2015",8346.15,8356.65,8267.9,8299.4,129561892,6499.2
"14-Jan-2015",8307.25,8326.45,8236.65,8277.55,150621631,7020.91
"15-Jan-2015",8424.5,8527.1,8380.55,8494.15,232138802,10725.62
"16-Jan-2015",8504.05,8530.75,8452.25,8513.8,181365905,8690.54
"19-Jan-2015",8550.05,8570.95,8531.5,8550.7,129346422,6292.59
"20-Jan-2015",8575.1,8707.9,8574.5,8695.6,158713840,7838.19
"21-Jan-2015",8719.65,8741.85,8689.6,8729.5,191651012,9735.99
"22-Jan-2015",8745.85,8774.15,8727,8761.4,180912372,9025.95
"23-Jan-2015",8827.95,8866.4,8795.4,8835.6,197124706,9716.57
"27-Jan-2015",8871.35,8925.05,8825.45,8910.5,192010521,9988.36
"28-Jan-2015",8902.75,8985.05,8874.05,8914.3,190805926,10313.46
"29-Jan-2015",8901.5,8966.65,8861.25,8952.35,264245843,13427.54
"30-Jan-2015",8996.6,8996.6,8775.1,8808.9,275587957,12385.18
"02-Feb-2015",8802.5,8840.8,8751.1,8797.4,216556534,10430.34
"03-Feb-2015",8823.15,8837.3,8726.65,8756.55,208672175,9888.1
"04-Feb-2015",8789.15,8792.85,8704.4,8723.7,201252375,8707.82
"05-Feb-2015",8733.1,8838.45,8683.65,8711.7,179008853,9126.1
"06-Feb-2015",8696.85,8726.2,8645.55,8661.05,176554075,7912.1
"09-Feb-2015",8584.4,8605.55,8516.35,8526.35,151329604,6863.17
"10-Feb-2015",8478.1,8646.25,8470.5,8565.55,202294693,9965.76
"11-Feb-2015",8603.3,8651.95,8593.65,8627.4,166560867,7602.46
"12-Feb-2015",8676.95,8732.55,8599.25,8711.55,163681352,7669.87
"13-Feb-2015",8741.5,8822.1,8729.65,8805.5,228807812,10248.41
"16-Feb-2015",8831.4,8870.1,8793.4,8809.35,140637331,7047.32
"18-Feb-2015",8811.55,8894.3,8808.9,8869.1,152152801,10153.74
"19-Feb-2015",8883.05,8913.45,8794.45,8895.3,219867400,9794.26
"20-Feb-2015",8895.5,8899.95,8816.3,8833.6,203714864,8193.56
